"sub","alpha_mean_SL00_multiVar_LKJ","alpha_median_SL00_multiVar_LKJ","beta_mean_SL00_multiVar_LKJ","beta_median_SL00_multiVar_LKJ","soc_mean_SL00_multiVar_LKJ","soc_median_SL00_multiVar_LKJ","theta_mean_SL00_multiVar_LKJ","theta_median_SL00_multiVar_LKJ","log_lik_SL00_multiVar_LKJ","waic_SL00_multiVar_LKJ"
39,0.279065052016667,0.2721405,11.1995798216667,10.43165,0.0341354263484806,0.01247205,2.47496379307367,2.463195,-6.855634845,18.8732292962526
40,0.0279044721835,0.0149139,8.39249573683333,5.642945,0.0697949735069113,0.04209855,0.952040295854833,0.9087855,-41.0082224,83.0268123754956
41,0.616908025333333,0.613169,2.87803236083333,2.653825,0.0837931733655933,0.0431046,1.737719198991,1.6587,-25.7884318833333,53.3190345257083
42,0.53290459367,0.541234,5.36928036833333,4.549935,0.040987748893407,0.01720845,1.84647260748133,1.867605,-8.05585172666667,17.919886153146
43,0.3305247922,0.2535095,9.01979574666667,6.633035,0.0149566400490937,0.00707668,2.00719414513783,1.96287,-2.32164202166667,5.72592832411311
44,0.60301393725045,0.618826,2.703488918,2.07935,0.294353090201367,0.280341,2.12551722542,1.793715,-35.0508986,72.320426465294
45,0.180943170087,0.0699193,8.0644779775,5.516645,0.0642690766901082,0.01868855,2.0389436346045,2.07285,-6.70824157666667,14.4946564475846
46,0.0237927377356305,0.00378063,8.03501808786667,4.823815,0.165827755874931,0.05851035,0.776861954868667,0.6510945,-41.50517455,83.7554602597409
47,0.747043779885963,0.762034,1.974170462,1.7675,0.102709342086915,0.0435686,1.46577621193667,1.31523,-17.9217616666667,37.6159898359167
48,0.0284627755511405,0.00216372,9.19602501398333,5.425195,0.225456295792036,0.0751635,0.616617991576667,0.4761915,-32.5434189166667,65.8241829437419
49,0.153412221261833,0.03623295,5.39500535583333,3.12845,0.117853525686872,0.06357775,1.255293534115,1.24786,-33.4560417,67.9768087894391
50,0.229555053033439,0.01847445,5.61311143466667,3.1549,0.731809163678483,0.798645,1.67399087759167,1.40587,-42.9456509666667,88.1909171287111
51,0.0161020846918167,0.01218635,10.3157012993333,7.39643,0.0654932503071425,0.02873895,1.09873241122667,1.07739,-39.4054797,80.1229038041669
52,0.381107052128333,0.296762,9.64602277616667,7.51248,0.0706184540105492,0.0187564,2.63548427163483,2.58921,-2.86589519666667,7.17624269925768
53,0.059685742658,0.0408698,8.9382626805,6.32115,0.0506812340426171,0.0204595,1.7190462822575,1.69816,-11.4558747833333,24.3283772799366
54,0.0395559537853237,0.00740261,7.789674599,4.88213,0.242938916431158,0.134562,1.3667126796593,1.301215,-33.9559305666667,68.4082159118403
55,0.190277509956667,0.1852345,4.53447450666667,4.049955,0.0347860760398012,0.0192783,1.19328742389917,1.1442,-19.6078904666667,41.3266576257469
56,0.134197234335,0.0733507,8.67280921666667,6.060515,0.0456078862085248,0.01999075,2.04453014122333,2.059495,-9.6534717,20.4586043116705
57,0.01036658572115,0.00908103,11.72381098,8.859135,0.0662468965103867,0.02818295,1.327600533704,1.282755,-43.7345624666667,88.7799880865798
58,0.251690318762833,0.207037,2.566550534,1.91809,0.12226312526988,0.06511375,0.424396868044,-0.07336585,-38.1470171333333,78.6847344753038
59,0.197005183372833,0.1028105,8.20192687,5.845525,0.0488155396629995,0.0211115,1.821681443554,1.78883,-6.44556628,13.9124657935269
60,0.16791213076,0.1364505,10.929464325,7.90345,0.0146756377348217,0.007032905,1.9318886503755,1.90084,-2.72883217333333,6.70212593492652
