date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,riskDistributionId,groupSize,room,confirmationID,subjectNumber,round,choice,payoff,totalEarning,socialFreq_safe,socialFreq_risky,behaviouralType,timeElapsed,latency,socialInfo_00,socialInfo_01,socialInfo_02,socialInfo_03,socialInfo_04,socialInfo_05,socialInfo_06,socialInfo_07,socialInfo_08,socialInfo_09,socialInfo_10,socialInfo_11,publicInfo_00,publicInfo_01,publicInfo_02,publicInfo_03,publicInfo_04,publicInfo_05,publicInfo_06,publicInfo_07,publicInfo_08,publicInfo_09,publicInfo_10,publicInfo_11
2020-8-20,10:4:38,5ecf408d36fa30376aeeab1b,binary,false,1,6,6,08200953_session_200,NrhGPw2vqZpQdR5EAABu,1,20,sure,152,2461,2,4,choice,501,0,risky,risky,risky,sure,risky,sure,,,,,,,53,45,45,158,553,142,,,,,,
2020-8-20,10:4:38,58a9dcd132c2cc0001cd2a62,binary,false,1,6,6,08200953_session_200,VTEgkcP5U6FLAyOHAACN,8,20,risky,55,2599,2,4,choice,833,0,risky,risky,risky,sure,risky,sure,,,,,,,53,45,45,158,553,142,,,,,,
2020-8-20,10:4:41,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,2,sure,149,295,1,0,choice,3809,0,sure,,,,,,,,,,,,146,,,,,,,,,,,
2020-8-20,10:4:42,5c39a38b48ad2900017f3dfd,binary,false,1,6,6,08200953_session_200,zadClLw6mn6mDltWAACD,2,21,risky,56,2014,2,4,choice,4183,0,risky,risky,risky,sure,risky,sure,,,,,,,548,548,58,152,55,147,,,,,,
2020-8-20,10:4:44,5ecf408d36fa30376aeeab1b,binary,false,1,6,6,08200953_session_200,NrhGPw2vqZpQdR5EAABu,1,21,sure,150,2611,2,4,choice,6260,0,risky,risky,risky,sure,risky,sure,,,,,,,548,548,58,152,55,147,,,,,,
2020-8-20,10:4:43,58a9dcd132c2cc0001cd2a62,binary,false,1,6,6,08200953_session_200,VTEgkcP5U6FLAyOHAACN,8,21,risky,552,3151,2,4,choice,4971,0,risky,risky,risky,sure,risky,sure,,,,,,,548,548,58,152,55,147,,,,,,
2020-8-20,10:4:42,5f1d9627f89919000a375c6f,binary,false,1,6,6,08200953_session_200,vPYu8tPJMq7DwzCjAACL,4,21,risky,47,4551,2,4,choice,4426,0,risky,risky,risky,sure,risky,sure,,,,,,,548,548,58,152,55,147,,,,,,
2020-8-20,10:4:44,5da9bc8ef91d670014c12a9c,binary,false,1,6,6,08200953_session_200,xyz8cRIT746AlDQ5AACG,3,21,risky,558,4060,2,4,choice,6697,0,risky,risky,risky,sure,risky,sure,,,,,,,548,548,58,152,55,147,,,,,,
2020-8-20,10:4:44,5e57e14bbb69b3197fcf242b,binary,false,1,6,6,08200953_session_200,wSAZWMgEh3Pg273pAACM,7,21,risky,54,3502,2,4,choice,5984,0,risky,risky,risky,sure,risky,sure,,,,,,,548,548,58,152,55,147,,,,,,
2020-8-20,10:4:46,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,1,risky,47,47,,,choice,8765,0,-1,-1,-1,-1,-1,-1,-1,-1,,,,,-1,-1,-1,-1,-1,-1,-1,-1,,,,
2020-8-20,10:4:47,5d5ef53ea55e6a0016d2cae4,binary,true,0,6,1,08200953_sessionIndiv_217,LonhHHxV-RCBQVdGAACS,1,3,risky,552,847,1,0,choice,9575,0,sure,,,,,,,,,,,,149,,,,,,,,,,,
2020-8-20,10:4:50,5f1eb18d95cef9000a17e468,binary,true,0,6,1,08200953_sessionIndiv_218,r4BFviitZq8Td3_2AACQ,1,2,sure,146,193,0,1,choice,12198,0,risky,,,,,,,,,,,,47,,,,,,,,,,,
2020-8-20,10:4:52,5e57e14bbb69b3197fcf242b,binary,false,1,6,6,08200953_session_200,wSAZWMgEh3Pg273pAACM,7,22,risky,544,4046,1,5,choice,13883,0,risky,risky,risky,risky,sure,risky,,,,,,,56,47,552,54,150,558,,,,,,
2020-8-20,10:4:49,58a9dcd132c2cc0001cd2a62,binary,false,1,6,6,08200953_session_200,VTEgkcP5U6FLAyOHAACN,8,22,risky,46,3197,1,5,choice,11079,0,risky,risky,risky,risky,sure,risky,,,,,,,56,47,552,54,150,558,,,,,,
2020-8-20,10:4:49,5da9bc8ef91d670014c12a9c,binary,false,1,6,6,08200953_session_200,xyz8cRIT746AlDQ5AACG,3,22,sure,150,4210,1,5,choice,11321,0,risky,risky,risky,risky,sure,risky,,,,,,,56,47,552,54,150,558,,,,,,
